Date,ACWI SMID VALUE SMID (Small+Mid Cap)
2004-08-30,514.267
2004-08-31,516.647
2004-09-01,519.551
2004-09-02,523.009
2004-09-03,520.88
2004-09-06,522.837
2004-09-07,526.178
2004-09-08,524.83
2004-09-09,524.752
2004-09-10,527.304
2004-09-13,528.601
2004-09-14,528.792
2004-09-15,524.94
2004-09-16,528.512
2004-09-17,528.839
2004-09-20,527.351
2004-09-21,531.145
2004-09-22,527.031
2004-09-23,526.208
2004-09-24,526.532
2004-09-27,524.112
2004-09-28,526.949
2004-09-29,529.564
2004-09-30,533.904
2004-10-01,540.304
2004-10-04,542.009
2004-10-05,542.488
2004-10-06,544.862
2004-10-07,541.409
2004-10-08,542.374
2004-10-11,542.599
2004-10-12,539.434
2004-10-13,535.17
2004-10-14,533.328
2004-10-15,536.292
2004-10-18,536.399
2004-10-19,535.797
2004-10-20,535.72
2004-10-21,538.597
2004-10-22,537.289
2004-10-25,538.003
2004-10-26,541.997
2004-10-27,546.275
2004-10-28,546.837
2004-10-29,547.534
2004-11-01,549.175
2004-11-02,550.053
2004-11-03,556.466
2004-11-04,562.521
2004-11-05,564.71
2004-11-08,564.335
2004-11-09,565.226
2004-11-10,566.757
2004-11-11,569.884
2004-11-12,575.712
2004-11-15,576.969
2004-11-16,575.026
2004-11-17,578.98
2004-11-18,578.397
2004-11-19,576.809
2004-11-22,578.073
2004-11-23,580.615
2004-11-24,585.267
2004-11-25,587.744
2004-11-26,588.618
2004-11-29,589.454
2004-11-30,588.7
2004-12-01,593.411
2004-12-02,593.035
2004-12-03,595.56
2004-12-06,594.909
2004-12-07,589.695
2004-12-08,586.756
2004-12-09,585.641
2004-12-10,585.793
2004-12-13,590.886
2004-12-14,593.285
2004-12-15,599.819
2004-12-16,596.976
2004-12-17,597.161
2004-12-20,599.668
2004-12-21,602.689
2004-12-22,604.778
2004-12-23,606.367
2004-12-24,608.12
2004-12-27,607.582
2004-12-28,611.005
2004-12-29,611.206
2004-12-30,614.252
2004-12-31,614.818
2005-01-03,608.936
2005-01-04,601.889
2005-01-05,595.435
2005-01-06,595.4
2005-01-07,594.122
2005-01-10,596.534
2005-01-11,595.752
2005-01-12,598.676
2005-01-13,597.842
2005-01-14,600.222
2005-01-17,601.777
2005-01-18,603.819
2005-01-19,602.912
2005-01-20,598.071
2005-01-21,597.883
