Date,EM (EMERGING MARKETS) IMI GROWTH IMI (Large+Mid+Small Cap)
2005-03-17,516.045
2005-03-18,515.716
2005-03-21,511.745
2005-03-22,509.746
2005-03-23,500.912
2005-03-24,500.338
2005-03-25,502.554
2005-03-28,500.392
2005-03-29,493.345
2005-03-30,495.099
2005-03-31,503.706
2005-04-01,509.808
2005-04-04,504.28
2005-04-05,504.397
2005-04-06,506.545
2005-04-07,508.583
2005-04-08,509.24
2005-04-11,507.739
2005-04-12,506.371
2005-04-13,507.819
2005-04-14,498.15
2005-04-15,492.066
2005-04-18,483.252
2005-04-19,489.116
2005-04-20,489.218
2005-04-21,490.894
2005-04-22,493.418
2005-04-25,495.712
2005-04-26,497.103
2005-04-27,492.971
2005-04-28,487.147
2005-04-29,487.668
2005-05-02,489.08
2005-05-03,488.918
2005-05-04,497.368
2005-05-05,501.917
2005-05-06,505.459
2005-05-09,505.263
2005-05-10,502.905
2005-05-11,498.948
2005-05-12,496.705
2005-05-13,495.903
2005-05-16,495.512
2005-05-17,494.579
2005-05-18,499.153
2005-05-19,505.213
2005-05-20,503.935
2005-05-23,502.648
2005-05-24,504.571
2005-05-25,502.174
2005-05-26,503.015
2005-05-27,509.55
2005-05-30,512.006
2005-05-31,508.78
2005-06-01,507.114
2005-06-02,511.334
2005-06-03,515.827
2005-06-06,514.956
2005-06-07,514.012
2005-06-08,515.98
2005-06-09,512.702
2005-06-10,515.853
2005-06-13,517.009
2005-06-14,517.664
2005-06-15,521.524
2005-06-16,523.904
2005-06-17,528.038
2005-06-20,526.877
2005-06-21,524.665
2005-06-22,529.091
2005-06-23,527.498
2005-06-24,524.742
2005-06-27,523.623
2005-06-28,524.536
2005-06-29,523.641
2005-06-30,523.632
2005-07-01,526.597
2005-07-04,524.773
2005-07-05,522.147
2005-07-06,524.668
2005-07-07,522.724
2005-07-08,523.769
2005-07-11,534.199
2005-07-12,541.077
2005-07-13,542.804
2005-07-14,547.56
2005-07-15,543.585
2005-07-18,545.133
2005-07-19,547.812
2005-07-20,549.207
2005-07-21,552.978
2005-07-22,554.95
2005-07-25,554.746
2005-07-26,550.424
2005-07-27,552.002
2005-07-28,558.215
2005-07-29,560.087
2005-08-01,563.765
2005-08-02,570.134
2005-08-03,573.995
2005-08-04,574.615
2005-08-05,571.479
2005-08-08,571.309
2005-08-09,572.724
2005-08-10,578.811
2005-08-11,579.627
2005-08-12,577.39
2005-08-15,576.732
2005-08-16,573.987
2005-08-17,573.075
2005-08-18,565.93
2005-08-19,562.69
2005-08-22,571.061
2005-08-23,568.16
2005-08-24,563.707
2005-08-25,565.128
2005-08-26,564.889
2005-08-29,559.46
2005-08-30,559.301
2005-08-31,563.998
2005-09-01,573.38
2005-09-02,579.826
2005-09-05,581.245
2005-09-06,582.693
2005-09-07,584.596
2005-09-08,586.685
2005-09-09,590.131
2005-09-12,592.102
2005-09-13,590.278
2005-09-14,592.332
2005-09-15,593.318
2005-09-16,594.439
2005-09-19,596.186
2005-09-20,601.355
2005-09-21,604.514
2005-09-22,600.023
2005-09-23,594.862
2005-09-26,599.228
2005-09-27,601.318
2005-09-28,603.218
2005-09-29,608.626
2005-09-30,613.604
2005-10-03,613.361
2005-10-04,616.878
2005-10-05,608.307
2005-10-06,594.988
2005-10-07,595.608
2005-10-10,600.406
2005-10-11,603.712
2005-10-12,593.908
2005-10-13,580.663
