Date,SPAIN Standard (Large+Mid Cap)
2004-07-27,2444.806
2004-07-28,2428.94
2004-07-29,2455.589
2004-07-30,2465.305
2004-08-02,2451.615
2004-08-03,2463.546
2004-08-04,2438.262
2004-08-05,2443.77
2004-08-06,2437.402
2004-08-09,2420.369
2004-08-10,2438.173
2004-08-11,2400.618
2004-08-12,2411.003
2004-08-13,2419.863
2004-08-16,2418.1
2004-08-17,2443.72
2004-08-18,2450.464
2004-08-19,2471.047
2004-08-20,2455.631
2004-08-23,2457.601
2004-08-24,2440.877
2004-08-25,2433.564
2004-08-26,2449.473
2004-08-27,2451.939
2004-08-30,2451.631
2004-08-31,2469.379
2004-09-01,2494.883
2004-09-02,2507.023
2004-09-03,2509.825
2004-09-06,2528.318
2004-09-07,2529.82
2004-09-08,2534.355
2004-09-09,2524.275
2004-09-10,2556.799
2004-09-13,2565.573
2004-09-14,2564.956
2004-09-15,2525.51
2004-09-16,2528.212
2004-09-17,2535.487
2004-09-20,2521.216
2004-09-21,2548.35
2004-09-22,2529.171
2004-09-23,2531.98
2004-09-24,2522.645
2004-09-27,2514.599
2004-09-28,2532.035
2004-09-29,2551.117
2004-09-30,2566.786
2004-10-01,2624.77
2004-10-04,2627.257
2004-10-05,2638.059
2004-10-06,2644.557
2004-10-07,2646.764
2004-10-08,2670.596
2004-10-11,2659.595
2004-10-12,2644.02
2004-10-13,2636.987
2004-10-14,2651.229
2004-10-15,2674.163
2004-10-18,2684.404
2004-10-19,2712.491
2004-10-20,2711.339
2004-10-21,2733.076
2004-10-22,2747.533
2004-10-25,2731.122
2004-10-26,2732.272
2004-10-27,2767.039
2004-10-28,2796.312
2004-10-29,2787.069
2004-11-01,2792.437
2004-11-02,2816.269
2004-11-03,2845.783
2004-11-04,2866.133
2004-11-05,2884.599
2004-11-08,2894.192
2004-11-09,2873.849
2004-11-10,2865.007
2004-11-11,2869.705
2004-11-12,2884.462
2004-11-15,2882.753
2004-11-16,2869.678
2004-11-17,2940.437
2004-11-18,2935.907
2004-11-19,2947.84
2004-11-22,2936.565
2004-11-23,2945.984
2004-11-24,2981.895
2004-11-25,3029.993
2004-11-26,3028.541
2004-11-29,3024.215
2004-11-30,3017.231
2004-12-01,3047.472
2004-12-02,3054.697
2004-12-03,3068.848
2004-12-06,3081.702
2004-12-07,3093.432
2004-12-08,3056.456
2004-12-09,3040.106
2004-12-10,3048.965
2004-12-13,3088.341
2004-12-14,3086.014
2004-12-15,3108.582
2004-12-16,3084.509
2004-12-17,3065.42
2004-12-20,3108.833
2004-12-21,3118.054
2004-12-22,3151.606
2004-12-23,3190.777
2004-12-24,3199.047
2004-12-27,3216.929
2004-12-28,3222.148
2004-12-29,3226.408
2004-12-30,3228.281
2004-12-31,3219.4
2005-01-03,3211.835
2005-01-04,3169.826
2005-01-05,3132.982
2005-01-06,3108.322
2005-01-07,3087.231
2005-01-10,3096.342
2005-01-11,3090.394
2005-01-12,3113.956
2005-01-13,3118.39
2005-01-14,3091.378
2005-01-17,3114.01
2005-01-18,3101.531
2005-01-19,3100.328
2005-01-20,3054.736
2005-01-21,3055.461
2005-01-24,3055.282
2005-01-25,3055.958
2005-01-26,3093.894
2005-01-27,3108.966
2005-01-28,3107.586
2005-01-31,3141.21
2005-02-01,3149.957
2005-02-02,3173.014
2005-02-03,3155.182
2005-02-04,3190.624
2005-02-07,3177.808
2005-02-08,3169.555
2005-02-09,3166.537
2005-02-10,3191.318
2005-02-11,3237.12
2005-02-14,3256.575
2005-02-15,3271.434
2005-02-16,3252.068
2005-02-17,3274.333
2005-02-18,3267.526
2005-02-21,3232.619
2005-02-22,3232.301
2005-02-23,3226.359
2005-02-24,3227.993
2005-02-25,3252.603
2005-02-28,3255.045
2005-03-01,3261.079
2005-03-02,3234.553
2005-03-03,3229.283
2005-03-04,3298.384
2005-03-07,3289.17
2005-03-08,3308.699
2005-03-09,3288.978
2005-03-10,3271.086
2005-03-11,3284.298
2005-03-14,3251.666
2005-03-15,3258.168
2005-03-16,3230.657
2005-03-17,3229.858
2005-03-18,3217.763
2005-03-21,3177.492
2005-03-22,3209.747
2005-03-23,3147.661
2005-03-24,3156.944
2005-03-25,3156.944
2005-03-28,3134.788
2005-03-29,3151.511
2005-03-30,3145.512
2005-03-31,3145.29
2005-04-01,3145.461
2005-04-04,3085.343
2005-04-05,3119.562
2005-04-06,3151.994
2005-04-07,3167.579
2005-04-08,3152.19
2005-04-11,3167.145
2005-04-12,3137.277
2005-04-13,3164.008
2005-04-14,3139.406
2005-04-15,3098.528
2005-04-18,3075.631
2005-04-19,3087.136
2005-04-20,3085.726
2005-04-21,3096.534
2005-04-22,3118.63
2005-04-25,3095.417
2005-04-26,3083.542
2005-04-27,3054.392
2005-04-28,3043.989
2005-04-29,3046.354
2005-05-02,3074.482
2005-05-03,3103.599
2005-05-04,3128.61
2005-05-05,3139.234
2005-05-06,3124.809
2005-05-09,3105.88
2005-05-10,3092.615
2005-05-11,3077.422
2005-05-12,3073.646
2005-05-13,3073.523
2005-05-16,3065.878
2005-05-17,3067.101
2005-05-18,3116.348
2005-05-19,3125.635
2005-05-20,3095.429
2005-05-23,3114.261
2005-05-24,3106.481
2005-05-25,3101.247
2005-05-26,3105.448
2005-05-27,3098.829
2005-05-30,3107.125
2005-05-31,3061.546
2005-06-01,3080.925
2005-06-02,3084.214
2005-06-03,3066.975
