Date,FRANCE SMALL VALUE Small Cap
2005-07-08,508.141
2005-07-11,516.225
2005-07-12,522.767
2005-07-13,519.544
2005-07-14,521.596
2005-07-15,519.795
2005-07-18,522.496
2005-07-19,520.607
2005-07-20,521.623
2005-07-21,525.994
2005-07-22,524.877
2005-07-25,522.828
2005-07-26,522.668
2005-07-27,526.729
2005-07-28,531.641
2005-07-29,537.517
2005-08-01,541.372
2005-08-02,543.053
2005-08-03,549.039
2005-08-04,550.767
2005-08-05,547.173
2005-08-08,550.793
2005-08-09,552.859
2005-08-10,556.971
2005-08-11,557.921
2005-08-12,555.705
2005-08-15,553.628
2005-08-16,552.23
2005-08-17,548.458
2005-08-18,542.569
2005-08-19,541.416
2005-08-22,545.647
2005-08-23,543.628
2005-08-24,543.045
2005-08-25,541.586
2005-08-26,542.574
2005-08-29,537.611
2005-08-30,538.22
2005-08-31,545.908
2005-09-01,557.147
2005-09-02,557.235
2005-09-05,558.861
2005-09-06,559.707
2005-09-07,559.871
2005-09-08,558.005
2005-09-09,561.001
2005-09-12,557.896
2005-09-13,555.768
2005-09-14,557.067
2005-09-15,556.372
2005-09-16,561.451
2005-09-19,557.067
2005-09-20,559.197
2005-09-21,559.484
2005-09-22,550.2
2005-09-23,550.52
2005-09-26,553.631
2005-09-27,554.348
2005-09-28,563.078
2005-09-29,564.384
2005-09-30,569.013
2005-10-03,566.023
2005-10-04,570.228
2005-10-05,564.099
2005-10-06,565.118
2005-10-07,565.218
2005-10-10,564.516
2005-10-11,560.72
2005-10-12,558.293
2005-10-13,545.787
2005-10-14,553.789
2005-10-17,552.844
2005-10-18,549.249
2005-10-19,535.788
2005-10-20,538.663
2005-10-21,536.134
2005-10-24,543.736
2005-10-25,550.927
2005-10-26,551.13
2005-10-27,552.312
2005-10-28,544.159
