Date,USA Standard (Large+Mid Cap)
2004-09-28,2365.501
2004-09-29,2376.151
2004-09-30,2375.506
2004-10-01,2411.897
2004-10-04,2420.213
2004-10-05,2418.315
2004-10-06,2434.626
2004-10-07,2410.196
2004-10-08,2392.595
2004-10-11,2397.605
2004-10-12,2392.384
2004-10-13,2375.605
2004-10-14,2353.736
2004-10-15,2363.544
2004-10-18,2376.3
2004-10-19,2353.888
2004-10-20,2355.033
2004-10-21,2361.278
2004-10-22,2337.802
2004-10-25,2335.061
2004-10-26,2369.315
2004-10-27,2400.105
2004-10-28,2404.893
2004-10-29,2410.924
2004-11-01,2411.722
2004-11-02,2411.269
2004-11-03,2439.11
2004-11-04,2478.137
2004-11-05,2487.269
2004-11-08,2484.112
2004-11-09,2482.794
2004-11-10,2480.929
2004-11-11,2503.495
2004-11-12,2527.512
2004-11-15,2527.15
2004-11-16,2509.965
2004-11-17,2524.646
2004-11-18,2528.427
2004-11-19,2500.093
2004-11-22,2514.806
2004-11-23,2514.099
2004-11-24,2524.856
2004-11-25,2524.856
2004-11-26,2526.895
2004-11-29,2518.901
2004-11-30,2508.692
2004-12-01,2546.557
2004-12-02,2543.819
2004-12-03,2545.695
2004-12-06,2544.006
2004-12-07,2515.369
2004-12-08,2528.125
2004-12-09,2541.947
2004-12-10,2539.288
2004-12-13,2561.207
2004-12-14,2571.961
2004-12-15,2578.492
2004-12-16,2572.667
2004-12-17,2554.432
2004-12-20,2555.338
2004-12-21,2579.303
2004-12-22,2588.833
2004-12-23,2590.383
2004-12-24,2590.383
2004-12-27,2579.283
2004-12-28,2598.057
2004-12-29,2598.335
2004-12-30,2598.801
2004-12-31,2595.394
2005-01-03,2573.184
2005-01-04,2543.416
2005-01-05,2533.57
2005-01-06,2542.686
2005-01-07,2539.52
2005-01-10,2548.643
2005-01-11,2532.789
2005-01-12,2543.694
2005-01-13,2522.13
2005-01-14,2537.672
2005-01-17,2537.672
2005-01-18,2562.079
2005-01-19,2537.676
2005-01-20,2519.179
2005-01-21,2503.137
2005-01-24,2494.174
2005-01-25,2503.249
2005-01-26,2516.178
2005-01-27,2516.384
2005-01-28,2509.53
2005-01-31,2530.407
2005-02-01,2547.424
2005-02-02,2555.831
2005-02-03,2548.428
2005-02-04,2577.691
2005-02-07,2574.605
2005-02-08,2576.775
2005-02-09,2554.872
2005-02-10,2565.453
2005-02-11,2583.633
2005-02-14,2586.032
2005-02-15,2594.315
2005-02-16,2594.762
2005-02-17,2574.239
2005-02-18,2576.232
2005-02-21,2576.232
2005-02-22,2538.583
2005-02-23,2552.804
2005-02-24,2573.641
2005-02-25,2598.502
2005-02-28,2581.555
2005-03-01,2595.927
2005-03-02,2596.118
2005-03-03,2596.279
2005-03-04,2621.541
2005-03-07,2629.229
2005-03-08,2617.02
2005-03-09,2590.241
2005-03-10,2594.864
2005-03-11,2576.257
2005-03-14,2592.743
2005-03-15,2573.595
2005-03-16,2552.269
2005-03-17,2556.606
2005-03-18,2555.667
2005-03-21,2544.095
2005-03-22,2518.683
2005-03-23,2519.892
2005-03-24,2518.518
2005-03-25,2518.518
2005-03-28,2524.646
2005-03-29,2506.43
2005-03-30,2540.957
2005-03-31,2539.198
2005-04-01,2522.669
2005-04-04,2528.992
2005-04-05,2540.322
2005-04-06,2546.316
2005-04-07,2562.159
2005-04-08,2540.622
2005-04-11,2540.32
2005-04-12,2555.16
2005-04-13,2525.321
2005-04-14,2500.024
2005-04-15,2460.131
2005-04-18,2467.009
2005-04-19,2482.289
2005-04-20,2450.005
2005-04-21,2497.579
2005-04-22,2480.973
2005-04-25,2502.236
2005-04-26,2480.983
2005-04-27,2491.078
2005-04-28,2463.086
2005-04-29,2492.421
2005-05-02,2503.993
2005-05-03,2502.243
2005-05-04,2534.037
2005-05-05,2527.903
2005-05-06,2525.24
2005-05-09,2541.357
2005-05-10,2515.17
2005-05-11,2526.038
2005-05-12,2501.566
2005-05-13,2490.708
2005-05-16,2515.866
2005-05-17,2533.785
2005-05-18,2559.435
2005-05-19,2571.8
2005-05-20,2568.31
2005-05-23,2578.241
2005-05-24,2578.564
2005-05-25,2569.411
2005-05-26,2586.147
2005-05-27,2588.905
2005-05-30,2588.905
2005-05-31,2572.538
2005-06-01,2596.254
2005-06-02,2601.447
2005-06-03,2584.134
2005-06-06,2587.537
