Date,HONG KONG SMID VALUE SMID (Small+Mid Cap)
2005-09-14,589.125
2005-09-15,587.688
2005-09-16,584.662
2005-09-19,584.594
2005-09-20,586.653
2005-09-21,583.315
2005-09-22,581.089
2005-09-23,579.247
2005-09-26,579.043
2005-09-27,577.685
2005-09-28,578.903
2005-09-29,582.511
2005-09-30,583.259
2005-10-03,586.732
2005-10-04,588.549
2005-10-05,582.243
2005-10-06,571.153
2005-10-07,572.93
2005-10-10,574.176
2005-10-11,574.084
2005-10-12,565.754
2005-10-13,566.949
2005-10-14,561.68
2005-10-17,560.511
2005-10-18,561.042
2005-10-19,554.066
2005-10-20,554.036
2005-10-21,554.941
