Date,WORLD SMID CAP SMID (Small+Mid Cap)
2005-03-08,658.002
2005-03-09,653.902
2005-03-10,651.788
2005-03-11,653.094
2005-03-14,653.281
2005-03-15,651.733
2005-03-16,649.305
2005-03-17,649.071
2005-03-18,647.549
2005-03-21,644.79
2005-03-22,643.028
2005-03-23,635.005
2005-03-24,635.795
2005-03-25,635.882
2005-03-28,634.265
2005-03-29,628.34
2005-03-30,632.962
2005-03-31,637.482
2005-04-01,637.502
2005-04-04,634.118
2005-04-05,636.594
2005-04-06,638.638
2005-04-07,641.92
2005-04-08,638.498
2005-04-11,639.124
2005-04-12,639.039
2005-04-13,635.371
2005-04-14,626.127
2005-04-15,616.986
2005-04-18,613.761
2005-04-19,622.144
2005-04-20,617.982
2005-04-21,623.544
2005-04-22,623.715
2005-04-25,627.003
2005-04-26,621.596
2005-04-27,618.458
2005-04-28,611.638
2005-04-29,615.385
2005-05-02,617.55
2005-05-03,617.391
2005-05-04,624.127
2005-05-05,625.023
2005-05-06,625.882
2005-05-09,628.1
2005-05-10,624.42
2005-05-11,624.352
2005-05-12,617.983
2005-05-13,613.81
2005-05-16,615.788
2005-05-17,617.563
2005-05-18,624.678
2005-05-19,628.369
2005-05-20,627.026
2005-05-23,631.448
2005-05-24,631.567
2005-05-25,628.225
2005-05-26,631.767
2005-05-27,634.031
2005-05-30,634.92
2005-05-31,634.378
2005-06-01,638.05
2005-06-02,639.622
2005-06-03,638.894
2005-06-06,640.515
2005-06-07,641.958
2005-06-08,642.306
2005-06-09,641.727
2005-06-10,642.065
2005-06-13,642.661
2005-06-14,645.195
2005-06-15,647.856
2005-06-16,652.315
2005-06-17,656.69
2005-06-20,654.447
2005-06-21,654.287
2005-06-22,655.193
2005-06-23,651.349
2005-06-24,647.163
2005-06-27,645.865
2005-06-28,651.396
2005-06-29,652.196
2005-06-30,650.965
2005-07-01,651.384
2005-07-04,651.114
2005-07-05,654.496
2005-07-06,654.056
2005-07-07,652.422
2005-07-08,659.183
2005-07-11,666.753
2005-07-12,669.831
2005-07-13,667.183
2005-07-14,666.451
2005-07-15,665.727
2005-07-18,665.148
2005-07-19,668.164
2005-07-20,671.595
2005-07-21,672.192
2005-07-22,675.935
2005-07-25,673.13
2005-07-26,673.398
2005-07-27,675.858
2005-07-28,681.363
2005-07-29,681.463
2005-08-01,684.36
2005-08-02,688.759
2005-08-03,689.752
2005-08-04,685.308
2005-08-05,677.644
2005-08-08,677.269
2005-08-09,679.495
2005-08-10,684.415
2005-08-11,689.352
2005-08-12,687.641
2005-08-15,688.108
2005-08-16,683.144
2005-08-17,681.496
2005-08-18,676.808
2005-08-19,678.071
2005-08-22,683.269
2005-08-23,681.71
2005-08-24,680.795
2005-08-25,681.77
2005-08-26,679.42
2005-08-29,679.456
2005-08-30,677.682
2005-08-31,687.116
2005-09-01,694.461
2005-09-02,694.061
2005-09-05,695.043
2005-09-06,699.462
2005-09-07,701.34
2005-09-08,698.328
2005-09-09,704.613
2005-09-12,704.162
2005-09-13,699.603
2005-09-14,699.638
2005-09-15,698.631
2005-09-16,701.216
2005-09-19,698.726
2005-09-20,696.899
2005-09-21,692.119
2005-09-22,689.854
2005-09-23,690.187
2005-09-26,694.618
2005-09-27,692.646
2005-09-28,694.991
2005-09-29,701.015
2005-09-30,704.249
2005-10-03,703.922
