Date,USA IMI GROWTH IMI (Large+Mid+Small Cap)
2005-08-02,828.318
2005-08-03,828.076
2005-08-04,821.153
2005-08-05,815.766
2005-08-08,812.284
2005-08-09,817.172
2005-08-10,814.997
2005-08-11,820.575
2005-08-12,815.615
2005-08-15,818.454
2005-08-16,808.054
2005-08-17,809.235
2005-08-18,807.988
2005-08-19,808.104
2005-08-22,809.279
2005-08-23,807.285
2005-08-24,803.193
2005-08-25,804.922
2005-08-26,800.043
2005-08-29,805.804
2005-08-30,803.104
2005-08-31,811.634
2005-09-01,810.942
2005-09-02,807.78
2005-09-05,807.78
2005-09-06,818.881
2005-09-07,821.688
2005-09-08,818.316
2005-09-09,823.494
2005-09-12,823.486
2005-09-13,817.438
2005-09-14,812.065
2005-09-15,811.992
2005-09-16,816.594
2005-09-19,811.838
2005-09-20,804.935
2005-09-21,797.074
2005-09-22,800.793
2005-09-23,802.68
2005-09-26,803.01
2005-09-27,802.721
2005-09-28,803.146
2005-09-29,810.475
2005-09-30,814.458
2005-10-03,815.004
2005-10-04,808.558
2005-10-05,795.351
2005-10-06,790.102
2005-10-07,792.926
2005-10-10,788.406
2005-10-11,785.313
2005-10-12,779.512
2005-10-13,780.327
2005-10-14,787.961
2005-10-17,789.846
2005-10-18,782.815
2005-10-19,795.893
2005-10-20,786.474
