Date,PORTUGAL LARGE CAP Large Cap
2006-09-22,830.337
2006-09-25,812.857
2006-09-26,807.877
2006-09-27,805.869
2006-09-28,824.611
2006-09-29,819.917
2006-10-02,819.876
2006-10-03,820.359
2006-10-04,818.71
2006-10-05,821.276
2006-10-06,813.02
2006-10-09,818.194
2006-10-10,809.919
2006-10-11,809.741
2006-10-12,810.581
2006-10-13,807.898
2006-10-16,809.321
2006-10-17,811.632
2006-10-18,805.015
2006-10-19,807.044
2006-10-20,807.492
2006-10-23,801.622
2006-10-24,799.718
2006-10-25,806.467
2006-10-26,810.888
2006-10-27,816.017
2006-10-30,816.403
2006-10-31,818.582
2006-11-01,820.838
2006-11-02,822.194
2006-11-03,818.908
2006-11-06,819.488
2006-11-07,821.796
2006-11-08,817.359
2006-11-09,821.347
2006-11-10,824.739
2006-11-13,819.263
2006-11-14,823.344
2006-11-15,821.404
2006-11-16,821.34
2006-11-17,826.058
2006-11-20,821.139
2006-11-21,822.622
2006-11-22,825.299
2006-11-23,827.171
2006-11-24,837.101
2006-11-27,838.221
2006-11-28,837.353
2006-11-29,838.345
2006-11-30,846.652
2006-12-01,848.596
2006-12-04,849.046
2006-12-05,858.055
2006-12-06,871.651
2006-12-07,868.046
2006-12-08,870.813
2006-12-11,864.591
2006-12-12,867.125
2006-12-13,867.919
2006-12-14,862.541
2006-12-15,858.81
2006-12-18,868.339
2006-12-19,873.186
2006-12-20,863.872
2006-12-21,867.059
2006-12-22,862.451
2006-12-25,862.451
2006-12-26,861.107
2006-12-27,862.102
2006-12-28,868.471
2006-12-29,877.208
2007-01-01,877.208
2007-01-02,880.969
2007-01-03,871.46
2007-01-04,870.271
2007-01-05,863.648
2007-01-08,871.303
2007-01-09,877.088
2007-01-10,873.856
2007-01-11,884.662
2007-01-12,889.498
2007-01-15,886.525
2007-01-16,886.968
2007-01-17,898.223
2007-01-18,895.778
2007-01-19,884.219
2007-01-22,876.13
2007-01-23,879.3
2007-01-24,877.83
2007-01-25,879.083
2007-01-26,876.194
2007-01-29,878.538
2007-01-30,880.883
2007-01-31,878.299
2007-02-01,886.656
2007-02-02,882.067
2007-02-05,884.953
2007-02-06,885.415
2007-02-07,899.329
2007-02-08,903.945
2007-02-09,907.433
2007-02-12,898.794
2007-02-13,897.837
2007-02-14,910.016
2007-02-15,919.299
2007-02-16,933.799
2007-02-19,941.643
2007-02-20,944.602
2007-02-21,935.785
2007-02-22,943.642
2007-02-23,939.73
2007-02-26,939.122
2007-02-27,934.109
2007-02-28,923.251
2007-03-01,921.932
2007-03-02,915.274
2007-03-05,894.646
2007-03-06,901.976
2007-03-07,893.486
2007-03-08,894.798
2007-03-09,896.811
