Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
2004-05-13,2566.494
2004-05-14,2554.986
2004-05-17,2535.57
2004-05-18,2552.552
2004-05-19,2571.742
2004-05-20,2557.669
2004-05-21,2570.182
2004-05-24,2573.803
2004-05-25,2604.445
2004-05-26,2615.453
2004-05-27,2646.863
2004-05-28,2639.139
2004-05-31,2642.237
2004-06-01,2636.063
2004-06-02,2645.412
2004-06-03,2630.824
2004-06-04,2646.764
2004-06-07,2688.324
2004-06-08,2692.408
2004-06-09,2660.454
2004-06-10,2666.527
2004-06-11,2660.069
2004-06-14,2635.801
2004-06-15,2652.363
2004-06-16,2656.83
2004-06-17,2653.22
2004-06-18,2663.03
2004-06-21,2651.186
2004-06-22,2650.752
2004-06-23,2668.096
2004-06-24,2672.649
2004-06-25,2663.257
2004-06-28,2668.548
2004-06-29,2664.803
2004-06-30,2670.679
2004-07-01,2649.483
2004-07-02,2647.247
2004-07-05,2643.805
2004-07-06,2620.243
2004-07-07,2631.156
2004-07-08,2620.059
2004-07-09,2622.646
2004-07-12,2617.976
2004-07-13,2615.059
2004-07-14,2610.098
2004-07-15,2592.23
2004-07-16,2586.434
2004-07-19,2576.015
2004-07-20,2590.839
2004-07-21,2562.867
2004-07-22,2561.308
2004-07-23,2528.368
2004-07-26,2515.302
2004-07-27,2530.836
2004-07-28,2526.819
2004-07-29,2548.36
2004-07-30,2551.997
2004-08-02,2556.986
2004-08-03,2547.827
2004-08-04,2537.933
2004-08-05,2509.657
2004-08-06,2477.259
2004-08-09,2469.116
2004-08-10,2499.334
2004-08-11,2476.864
2004-08-12,2456.806
2004-08-13,2467.681
2004-08-16,2494.553
2004-08-17,2502.868
2004-08-18,2523.441
2004-08-19,2526.566
2004-08-20,2530.672
2004-08-23,2532.926
2004-08-24,2523.849
2004-08-25,2539.622
2004-08-26,2544.907
2004-08-27,2553.302
2004-08-30,2535.452
2004-08-31,2540.569
2004-09-01,2554.438
2004-09-02,2574.293
2004-09-03,2559.215
2004-09-06,2565.206
2004-09-07,2573.561
2004-09-08,2571.948
2004-09-09,2574.711
2004-09-10,2599.958
