Date,SWEDEN Standard (Large+Mid Cap)
2005-01-14,12943.416
2005-01-17,13041.167
2005-01-18,12973.333
2005-01-19,13001.734
2005-01-20,12752.934
2005-01-21,12773.413
2005-01-24,12652.685
2005-01-25,12696.987
2005-01-26,12821.372
2005-01-27,12831.086
2005-01-28,12646.928
2005-01-31,12770.167
2005-02-01,12913.83
2005-02-02,12989.444
2005-02-03,12842.577
2005-02-04,12927.284
2005-02-07,12987.679
2005-02-08,12877.094
2005-02-09,13050.053
2005-02-10,12828.984
2005-02-11,12965.984
2005-02-14,13093.665
2005-02-15,13210.857
2005-02-16,13114.782
2005-02-17,13179.421
2005-02-18,13042.488
2005-02-21,13061.969
2005-02-22,13220.339
2005-02-23,13208.826
2005-02-24,13295.146
2005-02-25,13459.408
2005-02-28,13585.307
2005-03-01,13530.941
2005-03-02,13506.158
2005-03-03,13561.322
2005-03-04,13834.389
2005-03-07,13716.85
2005-03-08,13782.016
2005-03-09,13789.273
2005-03-10,13650.852
2005-03-11,13795.03
2005-03-14,13711.191
2005-03-15,13729.613
2005-03-16,13614.275
2005-03-17,13562.478
2005-03-18,13409.975
2005-03-21,13217.119
2005-03-22,13364.825
2005-03-23,13225.78
2005-03-24,13222.42
2005-03-25,13222.42
2005-03-28,13131.469
2005-03-29,13115.716
2005-03-30,13119.381
2005-03-31,13128.646
2005-04-01,13216.608
2005-04-04,13005.652
2005-04-05,13146.014
2005-04-06,13285.173
2005-04-07,13349.061
2005-04-08,13333.921
2005-04-11,13533.526
2005-04-12,13404.968
2005-04-13,13513.223
2005-04-14,13445.663
2005-04-15,13320.766
2005-04-18,13184.5
2005-04-19,13234.857
2005-04-20,13296.929
2005-04-21,13401.552
2005-04-22,13626.698
2005-04-25,13542.105
2005-04-26,13418.244
2005-04-27,13107.335
2005-04-28,12914.637
2005-04-29,12872.889
2005-05-02,12915.387
2005-05-03,12975.985
2005-05-04,13078.308
2005-05-05,13071.938
2005-05-06,13148.299
2005-05-09,13166.082
2005-05-10,13116.549
2005-05-11,12994.534
2005-05-12,13047.255
2005-05-13,13075.742
2005-05-16,13023.914
2005-05-17,13096.03
2005-05-18,13230.744
2005-05-19,13277.959
2005-05-20,13229.854
2005-05-23,13286.618
2005-05-24,13308.449
2005-05-25,13305.443
2005-05-26,13331.388
2005-05-27,13370.331
2005-05-30,13369.202
2005-05-31,13264.292
2005-06-01,13208.888
2005-06-02,13162.206
