Date,BELGIUM VALUE Standard (Large+Mid Cap)
2004-09-17,10904.917
2004-09-20,10821.697
2004-09-21,10981.23
2004-09-22,10923.736
2004-09-23,10854.327
2004-09-24,10861.249
2004-09-27,10874.967
2004-09-28,10883.085
2004-09-29,11022.712
2004-09-30,11117.542
2004-10-01,11276.441
2004-10-04,11302.948
2004-10-05,11375.596
2004-10-06,11449.665
2004-10-07,11399.904
2004-10-08,11448.469
2004-10-11,11448.197
2004-10-12,11231.992
2004-10-13,11316.731
2004-10-14,11361.341
2004-10-15,11414.692
2004-10-18,11466.518
2004-10-19,11536.141
2004-10-20,11529.923
2004-10-21,11555.012
2004-10-22,11612.672
2004-10-25,11574.444
2004-10-26,11553.995
2004-10-27,11693.721
2004-10-28,11760.869
2004-10-29,11739.233
2004-11-01,11826.294
2004-11-02,11911.739
2004-11-03,12110.828
2004-11-04,12113.349
2004-11-05,12172.258
2004-11-08,12221.856
2004-11-09,12214.608
2004-11-10,12326.506
2004-11-11,12411.866
2004-11-12,12437.239
2004-11-15,12373.287
2004-11-16,12345.262
2004-11-17,12433.804
2004-11-18,12379.083
2004-11-19,12477.264
2004-11-22,12404.694
2004-11-23,12392.599
2004-11-24,12493.498
2004-11-25,12637.733
2004-11-26,12756.18
2004-11-29,12661.32
2004-11-30,12618.086
2004-12-01,12890.661
2004-12-02,12898.178
2004-12-03,12990.629
2004-12-06,13019.905
2004-12-07,13070.357
2004-12-08,12888.187
2004-12-09,12882.668
2004-12-10,12873.54
2004-12-13,12999.915
2004-12-14,13005.811
2004-12-15,13174.551
2004-12-16,13041.542
2004-12-17,12942.223
2004-12-20,13066.729
2004-12-21,13082.328
2004-12-22,13195.014
2004-12-23,13329.313
2004-12-24,13330.719
2004-12-27,13434.022
2004-12-28,13412.879
2004-12-29,13397.247
2004-12-30,13421.176
2004-12-31,13372.35
2005-01-03,13424.709
2005-01-04,13371.032
2005-01-05,13221.063
2005-01-06,13284.626
2005-01-07,13152.113
2005-01-10,13266.796
2005-01-11,13196.01
2005-01-12,13290.634
2005-01-13,13192.699
2005-01-14,13155.258
2005-01-17,13256.041
2005-01-18,13185.466
2005-01-19,13193.358
2005-01-20,13093.311
2005-01-21,13232.118
2005-01-24,13237.386
2005-01-25,13309.053
2005-01-26,13353.141
2005-01-27,13284.784
2005-01-28,13025.277
2005-01-31,13084.568
2005-02-01,13067.102
2005-02-02,13186.377
2005-02-03,13247.286
2005-02-04,13290.337
2005-02-07,13194.659
2005-02-08,13165.934
2005-02-09,13226.49
2005-02-10,13353.684
2005-02-11,13525.466
2005-02-14,13578.064
2005-02-15,13725.318
2005-02-16,13686.866
2005-02-17,13723.827
2005-02-18,13734.913
2005-02-21,13583.661
2005-02-22,13664.695
2005-02-23,13503.089
2005-02-24,13502.982
2005-02-25,13582.308
2005-02-28,13732.336
2005-03-01,13620.783
2005-03-02,13499.766
2005-03-03,13449.787
2005-03-04,13748.606
2005-03-07,13831.429
