Date,SWEDEN IMI GROWTH IMI (Large+Mid+Small Cap)
2005-04-06,552.533
2005-04-07,556.696
2005-04-08,557.53
2005-04-11,566.368
2005-04-12,560.128
2005-04-13,565.816
2005-04-14,563.453
2005-04-15,557.08
2005-04-18,551.624
2005-04-19,552.972
2005-04-20,555.228
2005-04-21,563.697
2005-04-22,573.421
2005-04-25,568.764
2005-04-26,562.784
2005-04-27,549.763
2005-04-28,542.588
2005-04-29,540.453
2005-05-02,541.805
2005-05-03,547.272
2005-05-04,552.867
2005-05-05,552.597
2005-05-06,557.303
2005-05-09,558.873
2005-05-10,554.239
2005-05-11,549.391
2005-05-12,553.778
2005-05-13,554.597
2005-05-16,553.341
2005-05-17,556.415
2005-05-18,560.289
2005-05-19,563.766
2005-05-20,562.441
2005-05-23,565.144
2005-05-24,566.101
2005-05-25,565.145
2005-05-26,566.115
2005-05-27,566.258
2005-05-30,567.54
2005-05-31,563.035
2005-06-01,559.677
2005-06-02,559.562
2005-06-03,559.317
2005-06-06,559.765
2005-06-07,563.576
2005-06-08,567.578
2005-06-09,558.848
2005-06-10,560.375
2005-06-13,551.958
2005-06-14,558.963
2005-06-15,559.626
2005-06-16,561.861
2005-06-17,572.508
2005-06-20,571.212
2005-06-21,577.669
2005-06-22,575.052
2005-06-23,576.361
2005-06-24,576.892
2005-06-27,568.033
2005-06-28,565.507
2005-06-29,564.94
2005-06-30,565.606
2005-07-01,562.183
2005-07-04,564.676
2005-07-05,567.609
2005-07-06,572.746
2005-07-07,563.253
2005-07-08,569.548
2005-07-11,585.443
2005-07-12,594.339
2005-07-13,594.586
2005-07-14,593.558
2005-07-15,587.481
2005-07-18,589.693
2005-07-19,585.269
2005-07-20,580.193
2005-07-21,593.974
2005-07-22,591.464
2005-07-25,592.474
2005-07-26,585.587
2005-07-27,589.819
2005-07-28,596.247
2005-07-29,596.79
2005-08-01,600.589
2005-08-02,606.533
2005-08-03,610.292
2005-08-04,610.718
2005-08-05,606.957
2005-08-08,608.076
2005-08-09,609.258
2005-08-10,622.025
2005-08-11,625.098
2005-08-12,622.96
2005-08-15,620.324
2005-08-16,614.587
2005-08-17,608.686
2005-08-18,599.65
2005-08-19,597.441
2005-08-22,602.421
2005-08-23,598.698
2005-08-24,594.303
2005-08-25,587.712
2005-08-26,589.845
2005-08-29,589.995
2005-08-30,584.69
2005-08-31,597.505
2005-09-01,609.409
2005-09-02,614.31
2005-09-05,613.962
2005-09-06,615.202
2005-09-07,616.206
2005-09-08,612.348
2005-09-09,623.648
2005-09-12,619.536
2005-09-13,615.136
2005-09-14,617.371
2005-09-15,610.636
2005-09-16,610.908
2005-09-19,609.762
2005-09-20,612.067
2005-09-21,610.716
2005-09-22,609.076
2005-09-23,603.853
2005-09-26,610.278
2005-09-27,608.509
2005-09-28,614.656
2005-09-29,619.429
2005-09-30,624.402
2005-10-03,623.078
2005-10-04,624.856
2005-10-05,619.532
2005-10-06,619.942
2005-10-07,615.821
2005-10-10,612.539
2005-10-11,610.884
2005-10-12,603.68
2005-10-13,588.245
2005-10-14,594.731
2005-10-17,589.353
2005-10-18,581.852
2005-10-19,574.463
