Date,NETHERLANDS IMI GROWTH IMI (Large+Mid+Small Cap)
2005-03-02,659.662
2005-03-03,657.044
2005-03-04,664.357
2005-03-07,665.923
2005-03-08,667.095
2005-03-09,667.364
2005-03-10,666.156
2005-03-11,666.042
2005-03-14,661.602
2005-03-15,661.136
2005-03-16,658.113
2005-03-17,657.888
2005-03-18,653.379
2005-03-21,647.417
2005-03-22,649.75
2005-03-23,644.507
2005-03-24,649.776
2005-03-25,649.776
2005-03-28,645.216
2005-03-29,646.363
2005-03-30,649.852
2005-03-31,650.978
2005-04-01,646.315
2005-04-04,635.833
2005-04-05,641.147
2005-04-06,645.982
2005-04-07,646.933
2005-04-08,647.312
2005-04-11,649.489
2005-04-12,643.078
2005-04-13,643.619
2005-04-14,638.239
2005-04-15,638.693
2005-04-18,630.416
2005-04-19,632.472
2005-04-20,630.967
2005-04-21,636.074
2005-04-22,635.232
2005-04-25,630.819
2005-04-26,624.651
2005-04-27,616.291
2005-04-28,610.692
2005-04-29,610.078
2005-05-02,607.149
2005-05-03,610.981
2005-05-04,618.52
2005-05-05,623.791
2005-05-06,626.4
2005-05-09,627.776
2005-05-10,629.524
2005-05-11,626.344
2005-05-12,621.979
2005-05-13,621.648
2005-05-16,620.341
2005-05-17,620.993
2005-05-18,624.633
2005-05-19,623.818
2005-05-20,626.064
2005-05-23,632.25
2005-05-24,630.103
2005-05-25,633.687
2005-05-26,634.594
2005-05-27,635.257
2005-05-30,634.087
2005-05-31,619.851
2005-06-01,624.251
2005-06-02,626.755
2005-06-03,628.059
2005-06-06,621.853
2005-06-07,626.958
2005-06-08,628.015
2005-06-09,621.361
2005-06-10,620.406
2005-06-13,616.795
2005-06-14,617.43
2005-06-15,617.8
2005-06-16,619.133
2005-06-17,626.852
2005-06-20,618.054
2005-06-21,625.208
2005-06-22,627.803
2005-06-23,622.255
2005-06-24,617.789
2005-06-27,614.292
2005-06-28,614.016
2005-06-29,615.753
2005-06-30,616.015
2005-07-01,614.568
2005-07-04,612.085
2005-07-05,610.982
2005-07-06,613.173
2005-07-07,604.614
2005-07-08,611.551
2005-07-11,625.139
2005-07-12,628.862
2005-07-13,625.638
2005-07-14,628.173
2005-07-15,625.611
2005-07-18,628.732
2005-07-19,635.136
2005-07-20,637.902
2005-07-21,641.191
2005-07-22,639.065
2005-07-25,635.344
2005-07-26,634.303
2005-07-27,634.803
2005-07-28,638.043
2005-07-29,640.036
2005-08-01,646.205
2005-08-02,646.683
2005-08-03,647.295
2005-08-04,654.425
2005-08-05,651.785
2005-08-08,652.027
2005-08-09,653.57
2005-08-10,662.667
2005-08-11,664.749
2005-08-12,661.726
2005-08-15,658.232
2005-08-16,655.112
2005-08-17,653.436
2005-08-18,644.153
2005-08-19,646.966
2005-08-22,655.614
2005-08-23,649.836
2005-08-24,648.436
2005-08-25,644.613
2005-08-26,644.676
2005-08-29,644.969
2005-08-30,640.011
2005-08-31,646.826
2005-09-01,656.307
2005-09-02,663.16
2005-09-05,664.911
2005-09-06,667.148
2005-09-07,664.201
2005-09-08,664.976
2005-09-09,665.674
2005-09-12,661.286
2005-09-13,658.704
2005-09-14,659.737
2005-09-15,653.407
2005-09-16,657.794
2005-09-19,656.856
2005-09-20,659.894
2005-09-21,652.819
2005-09-22,645.755
2005-09-23,644.499
2005-09-26,649.075
2005-09-27,643.375
2005-09-28,648.711
2005-09-29,645.582
2005-09-30,650.695
2005-10-03,651.119
2005-10-04,659.794
2005-10-05,655.695
2005-10-06,653.98
2005-10-07,650.711
2005-10-10,649.008
2005-10-11,648.512
2005-10-12,643.454
2005-10-13,635.893
2005-10-14,646.656
2005-10-17,642.697
2005-10-18,635.003
