Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
2004-06-08,639.642
2004-06-09,634.229
2004-06-10,637.496
2004-06-11,637.204
2004-06-14,630.174
2004-06-15,634.924
2004-06-16,636.934
2004-06-17,638.073
2004-06-18,640.555
2004-06-21,639.016
2004-06-22,640.904
2004-06-23,646.831
2004-06-24,645.462
2004-06-25,642.338
2004-06-28,642.305
2004-06-29,643.248
2004-06-30,646.426
2004-07-01,640.81
2004-07-02,640.395
2004-07-05,640.395
2004-07-06,636.992
2004-07-07,638.158
2004-07-08,632.865
2004-07-09,635.367
2004-07-12,637.104
2004-07-13,637.433
2004-07-14,636.859
2004-07-15,634.961
2004-07-16,633.906
2004-07-19,634.889
2004-07-20,637.866
2004-07-21,629.918
2004-07-22,629.445
2004-07-23,625.773
2004-07-26,624.415
2004-07-27,630.258
2004-07-28,632.046
2004-07-29,635.62
2004-07-30,635.958
2004-08-02,638.75
2004-08-03,636.273
2004-08-04,635.484
2004-08-05,625.814
2004-08-06,617.377
2004-08-09,618.646
2004-08-10,626.029
2004-08-11,625.992
2004-08-12,618.59
2004-08-13,619.087
2004-08-16,628.344
2004-08-17,628.838
2004-08-18,636.222
2004-08-19,633.964
2004-08-20,639.609
2004-08-23,636.835
2004-08-24,638.135
2004-08-25,642.332
2004-08-26,642.963
2004-08-27,644.626
2004-08-30,640.832
2004-08-31,645.005
2004-09-01,645.963
2004-09-02,652.643
2004-09-03,651.891
2004-09-06,651.891
2004-09-07,657.567
2004-09-08,654.009
2004-09-09,655.328
2004-09-10,656.765
2004-09-13,657.168
2004-09-14,657.467
2004-09-15,653.97
2004-09-16,658.063
2004-09-17,660.656
2004-09-20,656.626
2004-09-21,661.881
2004-09-22,653.374
2004-09-23,648.849
2004-09-24,650.952
2004-09-27,647.325
2004-09-28,652.19
2004-09-29,653.736
2004-09-30,653.277
2004-10-01,662.626
2004-10-04,664.889
2004-10-05,664.217
2004-10-06,669.325
2004-10-07,663.419
2004-10-08,660.659
2004-10-11,661.427
2004-10-12,660.788
2004-10-13,654.056
2004-10-14,648.479
2004-10-15,652.161
2004-10-18,653.234
2004-10-19,646.126
2004-10-20,645.602
2004-10-21,647.225
2004-10-22,642.972
2004-10-25,643.448
2004-10-26,653.232
2004-10-27,659.147
2004-10-28,659.693
2004-10-29,661.807
2004-11-01,662.841
