Date,SINGAPORE Standard (Large+Mid Cap)
2004-09-14,4076.622
2004-09-15,4095.5
2004-09-16,4065.556
2004-09-17,4073.129
2004-09-20,4046.106
2004-09-21,4068.518
2004-09-22,4047.823
2004-09-23,4043.091
2004-09-24,4029.051
2004-09-27,4038.039
2004-09-28,4018.216
2004-09-29,4018.6
2004-09-30,4056.765
2004-10-01,4050.563
2004-10-04,4105.309
2004-10-05,4102.895
2004-10-06,4098.789
2004-10-07,4081.916
2004-10-08,4097.647
2004-10-11,4074.648
2004-10-12,4015.269
2004-10-13,4015.777
2004-10-14,3980.513
2004-10-15,4015.384
2004-10-18,3989.259
2004-10-19,4040.719
2004-10-20,4004.955
2004-10-21,4040.298
2004-10-22,4043.15
2004-10-25,4027.526
2004-10-26,4040.828
2004-10-27,4042.379
2004-10-28,4110.416
2004-10-29,4086.166
2004-11-01,4074.745
2004-11-02,4110.789
2004-11-03,4157.867
2004-11-04,4165.71
2004-11-05,4182.189
2004-11-08,4168.115
2004-11-09,4163.131
2004-11-10,4172.544
2004-11-11,4177.82
2004-11-12,4209.733
2004-11-15,4209.098
2004-11-16,4197.045
2004-11-17,4228.671
2004-11-18,4175.97
2004-11-19,4205.937
2004-11-22,4173.737
2004-11-23,4205.872
2004-11-24,4221.64
2004-11-25,4222.117
2004-11-26,4204.977
2004-11-29,4234.101
2004-11-30,4208.775
2004-12-01,4239.989
2004-12-02,4281.084
2004-12-03,4287.527
2004-12-06,4240.349
2004-12-07,4211.483
2004-12-08,4187.722
2004-12-09,4129.539
2004-12-10,4146.775
2004-12-13,4170.016
2004-12-14,4207.645
2004-12-15,4272.794
2004-12-16,4239.676
2004-12-17,4270.466
2004-12-20,4281.269
2004-12-21,4299.848
2004-12-22,4284.939
2004-12-23,4292.467
2004-12-24,4297.122
2004-12-27,4283.944
2004-12-28,4310.583
2004-12-29,4301.805
2004-12-30,4318.955
2004-12-31,4342.859
2005-01-03,4325.786
2005-01-04,4305.049
2005-01-05,4313.026
