Date,EUROPE IMI IMI (Large+Mid+Small Cap)
2004-05-05,494.544
2004-05-06,486.389
2004-05-07,480.092
2004-05-10,465.43
2004-05-11,468.304
2004-05-12,467.557
2004-05-13,469.8
2004-05-14,467.881
2004-05-17,466.474
2004-05-18,468.591
2004-05-19,479.262
2004-05-20,472.202
2004-05-21,475.484
2004-05-24,476.629
2004-05-25,479.71
2004-05-26,483.447
2004-05-27,492.691
2004-05-28,489.313
2004-05-31,490.114
2004-06-01,487.459
2004-06-02,491.663
2004-06-03,492.236
2004-06-04,495.523
2004-06-07,501.578
2004-06-08,501.214
2004-06-09,494.614
2004-06-10,495.405
2004-06-11,491.71
2004-06-14,487.938
2004-06-15,491.165
2004-06-16,493.299
2004-06-17,495.105
2004-06-18,499.273
2004-06-21,497.789
2004-06-22,492.811
2004-06-23,494.514
2004-06-24,499.981
2004-06-25,498.486
2004-06-28,503.804
2004-06-29,498.562
2004-06-30,497.569
2004-07-01,495.794
2004-07-02,498.28
2004-07-05,496.813
2004-07-06,494.424
2004-07-07,497.404
2004-07-08,500.254
2004-07-09,499.489
2004-07-12,498.223
2004-07-13,495.575
2004-07-14,497.157
2004-07-15,491.496
2004-07-16,495.631
2004-07-19,492.364
2004-07-20,491.22
2004-07-21,489.806
2004-07-22,484.483
2004-07-23,479.652
2004-07-26,476.831
2004-07-27,477.284
2004-07-28,477.703
2004-07-29,484.153
2004-07-30,483.708
2004-08-02,483.154
2004-08-03,485.615
2004-08-04,481.782
2004-08-05,482.275
2004-08-06,480.202
2004-08-09,475.991
2004-08-10,481.046
2004-08-11,474.165
2004-08-12,474.14
2004-08-13,477.352
2004-08-16,481.261
2004-08-17,481.332
2004-08-18,480.341
2004-08-19,483.967
2004-08-20,481.628
2004-08-23,483.226
2004-08-24,479.365
2004-08-25,479.88
2004-08-26,483.42
2004-08-27,484.834
2004-08-30,484.382
2004-08-31,484.343
2004-09-01,488.126
2004-09-02,489.301
2004-09-03,488.811
2004-09-06,491.444
2004-09-07,491.023
2004-09-08,492.962
2004-09-09,491.728
2004-09-10,498.69
2004-09-13,500.66
2004-09-14,500.638
2004-09-15,494.345
2004-09-16,496.135
2004-09-17,499.85
2004-09-20,497.473
