Date,ACWI SMALL VALUE Small Cap
2004-12-07,607.99
2004-12-08,605.14
2004-12-09,603.528
2004-12-10,604.109
2004-12-13,608.844
2004-12-14,611.287
2004-12-15,618.061
2004-12-16,614.935
2004-12-17,615.292
2004-12-20,617.254
2004-12-21,620.459
2004-12-22,622.642
2004-12-23,624.338
2004-12-24,625.99
2004-12-27,625.413
2004-12-28,629.245
2004-12-29,629.126
2004-12-30,632.413
2004-12-31,633.108
2005-01-03,626.732
2005-01-04,619.175
2005-01-05,612.009
2005-01-06,611.557
2005-01-07,609.802
2005-01-10,612.436
2005-01-11,611.428
2005-01-12,614.544
2005-01-13,613.848
2005-01-14,616.504
2005-01-17,618.139
2005-01-18,620.401
2005-01-19,619.426
2005-01-20,614.999
2005-01-21,615.362
2005-01-24,614.12
2005-01-25,612.642
2005-01-26,619.484
2005-01-27,619.858
2005-01-28,618.406
2005-01-31,625.553
2005-02-01,628.0
2005-02-02,632.124
2005-02-03,630.543
2005-02-04,636.548
2005-02-07,635.82
2005-02-08,635.405
2005-02-09,631.911
2005-02-10,634.438
2005-02-11,638.45
2005-02-14,641.62
2005-02-15,642.327
2005-02-16,642.548
2005-02-17,641.657
2005-02-18,641.494
2005-02-21,641.38
2005-02-22,636.011
2005-02-23,634.82
2005-02-24,638.476
2005-02-25,645.946
2005-02-28,648.138
2005-03-01,651.004
2005-03-02,649.204
2005-03-03,650.191
2005-03-04,657.945
2005-03-07,658.413
2005-03-08,657.917
2005-03-09,654.56
2005-03-10,652.756
2005-03-11,654.402
2005-03-14,654.153
2005-03-15,652.021
2005-03-16,650.179
2005-03-17,649.726
2005-03-18,647.857
2005-03-21,644.7
2005-03-22,642.641
2005-03-23,633.547
2005-03-24,633.877
2005-03-25,634.268
2005-03-28,632.32
2005-03-29,626.073
2005-03-30,630.283
2005-03-31,635.173
2005-04-01,635.339
2005-04-04,632.087
2005-04-05,633.527
2005-04-06,635.632
2005-04-07,638.751
2005-04-08,635.407
2005-04-11,635.011
2005-04-12,635.769
2005-04-13,633.109
2005-04-14,623.589
2005-04-15,615.876
2005-04-18,611.582
2005-04-19,620.114
2005-04-20,616.563
2005-04-21,620.664
2005-04-22,620.962
2005-04-25,624.328
2005-04-26,619.997
2005-04-27,617.917
2005-04-28,611.623
2005-04-29,615.309
2005-05-02,617.055
2005-05-03,616.28
2005-05-04,622.929
2005-05-05,623.983
2005-05-06,624.801
2005-05-09,626.943
2005-05-10,623.73
2005-05-11,623.281
2005-05-12,616.93
2005-05-13,612.201
2005-05-16,614.592
2005-05-17,615.957
2005-05-18,622.934
2005-05-19,626.338
2005-05-20,624.931
2005-05-23,628.703
2005-05-24,628.3
2005-05-25,624.73
2005-05-26,627.943
2005-05-27,630.772
2005-05-30,631.904
2005-05-31,632.563
2005-06-01,636.319
2005-06-02,637.953
2005-06-03,637.766
2005-06-06,639.925
2005-06-07,641.567
2005-06-08,642.537
2005-06-09,641.033
2005-06-10,642.01
2005-06-13,642.548
2005-06-14,645.435
2005-06-15,648.536
2005-06-16,652.513
2005-06-17,656.313
2005-06-20,653.919
2005-06-21,653.779
2005-06-22,655.191
2005-06-23,651.389
2005-06-24,647.624
2005-06-27,646.197
2005-06-28,651.369
2005-06-29,651.905
2005-06-30,651.082
2005-07-01,652.167
2005-07-04,651.77
2005-07-05,654.42
2005-07-06,653.855
2005-07-07,651.584
2005-07-08,658.617
2005-07-11,666.681
2005-07-12,669.766
2005-07-13,667.07
2005-07-14,665.724
2005-07-15,664.608
2005-07-18,663.661
2005-07-19,666.595
2005-07-20,670.602
2005-07-21,670.947
2005-07-22,675.369
2005-07-25,672.411
2005-07-26,672.774
2005-07-27,675.11
2005-07-28,679.882
2005-07-29,680.76
2005-08-01,683.202
2005-08-02,687.821
2005-08-03,688.705
2005-08-04,683.608
2005-08-05,675.482
2005-08-08,673.529
2005-08-09,675.653
2005-08-10,679.982
2005-08-11,684.423
2005-08-12,682.568
2005-08-15,683.932
2005-08-16,680.128
2005-08-17,678.261
2005-08-18,672.702
2005-08-19,673.46
2005-08-22,679.65
2005-08-23,678.48
2005-08-24,677.651
2005-08-25,679.371
2005-08-26,676.281
2005-08-29,675.487
2005-08-30,674.072
2005-08-31,683.196
2005-09-01,690.397
2005-09-02,690.616
2005-09-05,691.558
2005-09-06,695.917
2005-09-07,696.886
2005-09-08,693.894
2005-09-09,699.297
2005-09-12,699.559
2005-09-13,695.177
2005-09-14,694.697
2005-09-15,693.557
2005-09-16,696.102
2005-09-19,693.281
2005-09-20,691.883
2005-09-21,686.683
2005-09-22,684.422
2005-09-23,684.476
2005-09-26,688.695
2005-09-27,686.722
2005-09-28,687.569
2005-09-29,694.184
2005-09-30,697.364
