Date,ACWI SMID GROWTH SMID (Small+Mid Cap)
2004-08-25,519.889
2004-08-26,520.939
2004-08-27,523.055
2004-08-30,519.057
2004-08-31,521.216
2004-09-01,525.522
2004-09-02,529.433
2004-09-03,525.445
2004-09-06,527.484
2004-09-07,530.387
2004-09-08,529.536
2004-09-09,531.187
2004-09-10,536.248
2004-09-13,539.908
2004-09-14,541.305
2004-09-15,535.384
2004-09-16,538.292
2004-09-17,539.364
2004-09-20,538.545
2004-09-21,543.091
2004-09-22,537.838
2004-09-23,537.907
2004-09-24,537.749
2004-09-27,533.449
2004-09-28,535.886
2004-09-29,538.517
2004-09-30,542.498
2004-10-01,549.994
2004-10-04,553.58
2004-10-05,553.092
2004-10-06,555.561
2004-10-07,552.303
2004-10-08,550.834
2004-10-11,550.912
2004-10-12,546.236
2004-10-13,543.259
2004-10-14,541.271
2004-10-15,543.444
2004-10-18,544.895
2004-10-19,545.22
2004-10-20,545.996
2004-10-21,551.153
2004-10-22,548.767
2004-10-25,548.526
2004-10-26,551.466
2004-10-27,558.523
2004-10-28,559.706
2004-10-29,560.094
2004-11-01,561.34
2004-11-02,563.504
2004-11-03,569.883
2004-11-04,574.809
2004-11-05,579.373
2004-11-08,577.8
2004-11-09,578.428
2004-11-10,579.417
2004-11-11,583.18
2004-11-12,589.702
2004-11-15,591.342
2004-11-16,588.932
2004-11-17,594.386
2004-11-18,593.718
2004-11-19,591.408
2004-11-22,591.822
2004-11-23,594.084
2004-11-24,599.128
2004-11-25,601.662
2004-11-26,601.934
2004-11-29,603.097
2004-11-30,601.356
2004-12-01,606.445
2004-12-02,606.435
2004-12-03,608.924
2004-12-06,608.629
2004-12-07,603.051
2004-12-08,599.695
2004-12-09,598.819
2004-12-10,598.961
2004-12-13,604.254
2004-12-14,607.374
2004-12-15,612.519
2004-12-16,609.645
2004-12-17,609.717
2004-12-20,611.677
2004-12-21,614.461
2004-12-22,616.542
2004-12-23,618.849
2004-12-24,620.48
2004-12-27,620.107
2004-12-28,624.524
2004-12-29,624.445
2004-12-30,627.492
2004-12-31,628.036
2005-01-03,621.43
2005-01-04,612.13
2005-01-05,606.802
2005-01-06,606.317
2005-01-07,604.746
2005-01-10,607.865
2005-01-11,606.981
2005-01-12,610.549
2005-01-13,609.472
2005-01-14,611.873
2005-01-17,613.828
2005-01-18,615.919
2005-01-19,613.825
2005-01-20,608.993
2005-01-21,608.136
2005-01-24,606.374
2005-01-25,606.175
2005-01-26,613.37
2005-01-27,614.551
2005-01-28,612.092
2005-01-31,618.811
2005-02-01,621.121
2005-02-02,624.768
2005-02-03,623.14
2005-02-04,629.554
2005-02-07,628.32
2005-02-08,627.238
2005-02-09,622.128
2005-02-10,624.7
2005-02-11,630.096
2005-02-14,633.037
2005-02-15,634.686
2005-02-16,633.875
2005-02-17,632.753
2005-02-18,633.25
2005-02-21,633.153
2005-02-22,629.558
2005-02-23,629.316
2005-02-24,634.017
2005-02-25,640.473
2005-02-28,641.28
2005-03-01,642.949
2005-03-02,641.918
2005-03-03,642.184
2005-03-04,648.892
2005-03-07,649.432
2005-03-08,648.543
2005-03-09,645.115
2005-03-10,642.298
2005-03-11,643.681
2005-03-14,642.986
2005-03-15,640.844
2005-03-16,638.595
2005-03-17,637.841
2005-03-18,636.783
2005-03-21,634.135
2005-03-22,632.639
2005-03-23,624.383
2005-03-24,625.033
2005-03-25,625.215
2005-03-28,623.469
2005-03-29,617.418
2005-03-30,621.709
2005-03-31,626.255
2005-04-01,626.559
2005-04-04,623.208
2005-04-05,625.913
2005-04-06,627.846
2005-04-07,631.41
2005-04-08,628.253
2005-04-11,628.587
2005-04-12,627.868
2005-04-13,624.535
2005-04-14,615.668
2005-04-15,606.247
2005-04-18,602.274
2005-04-19,610.905
2005-04-20,607.054
2005-04-21,613.126
2005-04-22,612.714
2005-04-25,615.562
2005-04-26,610.426
2005-04-27,606.768
2005-04-28,599.097
2005-04-29,601.795
2005-05-02,604.051
2005-05-03,604.328
2005-05-04,611.047
2005-05-05,612.473
2005-05-06,613.561
2005-05-09,615.372
2005-05-10,611.617
2005-05-11,611.182
2005-05-12,605.725
2005-05-13,602.51
2005-05-16,603.961
2005-05-17,605.163
2005-05-18,612.201
2005-05-19,616.355
2005-05-20,614.885
2005-05-23,619.041
2005-05-24,619.92
2005-05-25,616.83
2005-05-26,620.607
2005-05-27,622.847
2005-05-30,623.661
2005-05-31,622.802
2005-06-01,625.756
2005-06-02,628.28
2005-06-03,628.096
2005-06-06,629.505
2005-06-07,630.667
2005-06-08,630.786
2005-06-09,630.787
2005-06-10,630.782
2005-06-13,631.21
2005-06-14,632.916
2005-06-15,635.728
2005-06-16,640.506
2005-06-17,644.578
2005-06-20,642.552
2005-06-21,642.223
2005-06-22,643.361
2005-06-23,639.676
2005-06-24,635.621
2005-06-27,634.29
2005-06-28,639.517
2005-06-29,640.359
2005-06-30,639.074
2005-07-01,639.029
2005-07-04,638.84
2005-07-05,642.261
2005-07-06,642.206
2005-07-07,640.622
2005-07-08,646.942
2005-07-11,654.799
2005-07-12,658.486
2005-07-13,655.86
2005-07-14,655.841
2005-07-15,655.2
2005-07-18,654.482
2005-07-19,657.688
2005-07-20,660.674
2005-07-21,661.567
2005-07-22,665.209
2005-07-25,662.674
2005-07-26,662.597
2005-07-27,665.088
2005-07-28,671.076
2005-07-29,671.164
2005-08-01,674.621
2005-08-02,678.541
2005-08-03,679.501
2005-08-04,675.97
2005-08-05,669.424
2005-08-08,669.838
2005-08-09,672.133
2005-08-10,676.838
2005-08-11,681.435
2005-08-12,679.585
2005-08-15,679.408
2005-08-16,674.263
2005-08-17,672.807
2005-08-18,668.449
2005-08-19,669.521
2005-08-22,674.448
2005-08-23,672.952
2005-08-24,672.013
2005-08-25,672.522
2005-08-26,670.291
2005-08-29,670.106
2005-08-30,668.657
2005-08-31,677.883
2005-09-01,685.194
2005-09-02,684.62
2005-09-05,685.646
2005-09-06,689.673
2005-09-07,692.276
2005-09-08,689.798
2005-09-09,695.878
2005-09-12,695.383
2005-09-13,690.821
2005-09-14,690.831
2005-09-15,689.725
2005-09-16,692.21
2005-09-19,690.344
2005-09-20,688.746
2005-09-21,684.721
2005-09-22,682.16
2005-09-23,682.292
2005-09-26,687.016
2005-09-27,685.264
2005-09-28,687.943
2005-09-29,693.588
2005-09-30,697.428
2005-10-03,697.805
2005-10-04,695.531
2005-10-05,684.344
2005-10-06,677.055
2005-10-07,678.672
2005-10-10,675.18
2005-10-11,674.409
2005-10-12,668.527
2005-10-13,661.474
2005-10-14,667.872
2005-10-17,668.582
2005-10-18,659.836
2005-10-19,660.148
2005-10-20,656.725
2005-10-21,659.261
2005-10-24,667.469
