Date,NETHERLANDS Standard (Large+Mid Cap)
2005-01-18,8854.174
2005-01-19,8863.425
2005-01-20,8779.471
2005-01-21,8851.734
2005-01-24,8902.712
2005-01-25,8892.398
2005-01-26,8995.259
2005-01-27,9014.615
2005-01-28,8982.463
2005-01-31,9087.388
2005-02-01,9214.129
2005-02-02,9264.16
2005-02-03,9167.344
2005-02-04,9284.29
2005-02-07,9243.968
2005-02-08,9197.839
2005-02-09,9170.337
2005-02-10,9224.541
2005-02-11,9298.964
2005-02-14,9374.869
2005-02-15,9432.718
2005-02-16,9430.821
2005-02-17,9541.794
2005-02-18,9581.197
2005-02-21,9609.438
2005-02-22,9651.384
2005-02-23,9557.015
2005-02-24,9546.735
2005-02-25,9671.629
2005-02-28,9734.469
2005-03-01,9729.233
2005-03-02,9691.825
2005-03-03,9707.152
2005-03-04,9865.778
2005-03-07,9836.297
2005-03-08,9886.642
2005-03-09,9841.638
2005-03-10,9761.612
2005-03-11,9792.083
2005-03-14,9726.755
2005-03-15,9731.196
2005-03-16,9670.626
2005-03-17,9623.333
2005-03-18,9595.876
2005-03-21,9491.627
2005-03-22,9530.15
2005-03-23,9362.281
2005-03-24,9386.405
2005-03-25,9386.405
2005-03-28,9320.531
2005-03-29,9350.997
2005-03-30,9330.389
2005-03-31,9364.317
2005-04-01,9323.751
2005-04-04,9216.783
2005-04-05,9286.059
2005-04-06,9337.565
2005-04-07,9434.916
2005-04-08,9401.979
2005-04-11,9448.347
2005-04-12,9348.647
2005-04-13,9362.076
2005-04-14,9269.6
2005-04-15,9235.762
2005-04-18,9096.403
2005-04-19,9148.345
2005-04-20,9095.057
2005-04-21,9102.454
2005-04-22,9166.505
2005-04-25,9142.897
2005-04-26,9107.886
2005-04-27,8967.11
2005-04-28,8880.457
2005-04-29,8926.701
2005-05-02,8908.85
2005-05-03,8957.683
2005-05-04,9040.63
2005-05-05,9128.629
2005-05-06,9120.32
2005-05-09,9076.964
2005-05-10,9061.48
2005-05-11,8973.706
2005-05-12,8965.748
2005-05-13,8920.206
2005-05-16,8876.317
2005-05-17,8896.036
2005-05-18,9041.936
2005-05-19,9095.43
2005-05-20,9058.19
2005-05-23,9141.732
2005-05-24,9132.376
2005-05-25,9162.738
2005-05-26,9176.902
2005-05-27,9189.308
2005-05-30,9174.576
2005-05-31,8987.368
2005-06-01,9105.435
